"行政区域代码
更新时间: 2020.1
数据来源: http://www.mca.gov.cn/article/sj/xzqh/2020/2020/202003061536.html"						
序号	名称	区域编码	父级区域编码	区域等级	全称	
area_id	area_name	area_code	area_parentcode	area_level	area_allname	
733	佳木斯市	230800	230000	2	黑龙江省/佳木斯市	
734	向阳区	230803	230800	3	黑龙江省/佳木斯市/向阳区	
735	前进区	230804	230800	3	黑龙江省/佳木斯市/前进区	
736	东风区	230805	230800	3	黑龙江省/佳木斯市/东风区	
737	郊区	230811	230800	3	黑龙江省/佳木斯市/郊区	
738	桦南县	230822	230800	3	黑龙江省/佳木斯市/桦南县	
739	桦川县	230826	230800	3	黑龙江省/佳木斯市/桦川县	
740	汤原县	230828	230800	3	黑龙江省/佳木斯市/汤原县	
741	同江市	230881	230800	3	黑龙江省/佳木斯市/同江市	
742	富锦市	230882	230800	3	黑龙江省/佳木斯市/富锦市	
743	抚远市	230883	230800	3	黑龙江省/佳木斯市/抚远市	
744	七台河市	230900	230000	2	黑龙江省/七台河市	
745	新兴区	230902	230900	3	黑龙江省/七台河市/新兴区	
746	桃山区	230903	230900	3	黑龙江省/七台河市/桃山区	
747	茄子河区	230904	230900	3	黑龙江省/七台河市/茄子河区	
748	勃利县	230921	230900	3	黑龙江省/七台河市/勃利县	
749	牡丹江市	231000	230000	2	黑龙江省/牡丹江市	
750	东安区	231002	231000	3	黑龙江省/牡丹江市/东安区	
751	阳明区	231003	231000	3	黑龙江省/牡丹江市/阳明区	
752	爱民区	231004	231000	3	黑龙江省/牡丹江市/爱民区	
753	西安区	231005	231000	3	黑龙江省/牡丹江市/西安区	
754	林口县	231025	231000	3	黑龙江省/牡丹江市/林口县	
755	绥芬河市	231081	231000	3	黑龙江省/牡丹江市/绥芬河市	
756	海林市	231083	231000	3	黑龙江省/牡丹江市/海林市	
757	宁安市	231084	231000	3	黑龙江省/牡丹江市/宁安市	
758	穆棱市	231085	231000	3	黑龙江省/牡丹江市/穆棱市	
759	东宁市	231086	231000	3	黑龙江省/牡丹江市/东宁市	
760	黑河市	231100	230000	2	黑龙江省/黑河市	
761	爱辉区	231102	231100	3	黑龙江省/黑河市/爱辉区	
762	逊克县	231123	231100	3	黑龙江省/黑河市/逊克县	
763	孙吴县	231124	231100	3	黑龙江省/黑河市/孙吴县	
764	北安市	231181	231100	3	黑龙江省/黑河市/北安市	
765	五大连池市	231182	231100	3	黑龙江省/黑河市/五大连池市	
766	嫩江市	231183	231100	3	黑龙江省/黑河市/嫩江市	
767	绥化市	231200	230000	2	黑龙江省/绥化市	
768	北林区	231202	231200	3	黑龙江省/绥化市/北林区	
769	望奎县	231221	231200	3	黑龙江省/绥化市/望奎县	
770	兰西县	231222	231200	3	黑龙江省/绥化市/兰西县	
771	青冈县	231223	231200	3	黑龙江省/绥化市/青冈县	
772	庆安县	231224	231200	3	黑龙江省/绥化市/庆安县	
773	明水县	231225	231200	3	黑龙江省/绥化市/明水县	
774	绥棱县	231226	231200	3	黑龙江省/绥化市/绥棱县	
775	安达市	231281	231200	3	黑龙江省/绥化市/安达市	
776	肇东市	231282	231200	3	黑龙江省/绥化市/肇东市	
777	海伦市	231283	231200	3	黑龙江省/绥化市/海伦市	
778	大兴安岭地区	232700	230000	2	黑龙江省/大兴安岭地区	
779	漠河市	232701	232700	3	黑龙江省/大兴安岭地区/漠河市	
780	呼玛县	232721	232700	3	黑龙江省/大兴安岭地区/呼玛县	
781	塔河县	232722	232700	3	黑龙江省/大兴安岭地区/塔河县	
782	上海市	310000	000000	1	上海市	
783	市辖区	310100	310000	2	上海市/市辖区	
784	黄浦区	310101	310100	3	上海市/市辖区/黄浦区	
785	徐汇区	310104	310100	3	上海市/市辖区/徐汇区	
786	长宁区	310105	310100	3	上海市/市辖区/长宁区	
787	静安区	310106	310100	3	上海市/市辖区/静安区	
788	普陀区	310107	310100	3	上海市/市辖区/普陀区	
789	虹口区	310109	310100	3	上海市/市辖区/虹口区	
790	杨浦区	310110	310100	3	上海市/市辖区/杨浦区	
791	闵行区	310112	310100	3	上海市/市辖区/闵行区	
792	宝山区	310113	310100	3	上海市/市辖区/宝山区	
793	嘉定区	310114	310100	3	上海市/市辖区/嘉定区	
794	浦东新区	310115	310100	3	上海市/市辖区/浦东新区	
795	金山区	310116	310100	3	上海市/市辖区/金山区	
796	松江区	310117	310100	3	上海市/市辖区/松江区	
797	青浦区	310118	310100	3	上海市/市辖区/青浦区	
798	奉贤区	310120	310100	3	上海市/市辖区/奉贤区	
799	崇明区	310151	310100	3	上海市/市辖区/崇明区	
800	江苏省	320000	000000	1	江苏省	
801	南京市	320100	320000	2	江苏省/南京市	
802	玄武区	320102	320100	3	江苏省/南京市/玄武区	
803	秦淮区	320104	320100	3	江苏省/南京市/秦淮区	
804	建邺区	320105	320100	3	江苏省/南京市/建邺区	
805	鼓楼区	320106	320100	3	江苏省/南京市/鼓楼区	
806	浦口区	320111	320100	3	江苏省/南京市/浦口区	
807	栖霞区	320113	320100	3	江苏省/南京市/栖霞区	
808	雨花台区	320114	320100	3	江苏省/南京市/雨花台区	
809	江宁区	320115	320100	3	江苏省/南京市/江宁区	
810	六合区	320116	320100	3	江苏省/南京市/六合区	
811	溧水区	320117	320100	3	江苏省/南京市/溧水区	
812	高淳区	320118	320100	3	江苏省/南京市/高淳区	
813	无锡市	320200	320000	2	江苏省/无锡市	
814	锡山区	320205	320200	3	江苏省/无锡市/锡山区	
815	惠山区	320206	320200	3	江苏省/无锡市/惠山区	
816	滨湖区	320211	320200	3	江苏省/无锡市/滨湖区	
817	梁溪区	320213	320200	3	江苏省/无锡市/梁溪区	
818	新吴区	320214	320200	3	江苏省/无锡市/新吴区	
819	江阴市	320281	320200	3	江苏省/无锡市/江阴市	
820	宜兴市	320282	320200	3	江苏省/无锡市/宜兴市	
821	徐州市	320300	320000	2	江苏省/徐州市	
822	鼓楼区	320302	320300	3	江苏省/徐州市/鼓楼区	
823	云龙区	320303	320300	3	江苏省/徐州市/云龙区	
824	贾汪区	320305	320300	3	江苏省/徐州市/贾汪区	
825	泉山区	320311	320300	3	江苏省/徐州市/泉山区	
826	铜山区	320312	320300	3	江苏省/徐州市/铜山区	
827	丰县	320321	320300	3	江苏省/徐州市/丰县	
828	沛县	320322	320300	3	江苏省/徐州市/沛县	
829	睢宁县	320324	320300	3	江苏省/徐州市/睢宁县	
830	新沂市	320381	320300	3	江苏省/徐州市/新沂市	
831	邳州市	320382	320300	3	江苏省/徐州市/邳州市	
832	常州市	320400	320000	2	江苏省/常州市	
833	天宁区	320402	320400	3	江苏省/常州市/天宁区	
834	钟楼区	320404	320400	3	江苏省/常州市/钟楼区	
835	新北区	320411	320400	3	江苏省/常州市/新北区	
836	武进区	320412	320400	3	江苏省/常州市/武进区	
837	金坛区	320413	320400	3	江苏省/常州市/金坛区	
838	溧阳市	320481	320400	3	江苏省/常州市/溧阳市	
839	苏州市	320500	320000	2	江苏省/苏州市	
840	虎丘区	320505	320500	3	江苏省/苏州市/虎丘区	
841	吴中区	320506	320500	3	江苏省/苏州市/吴中区	
842	相城区	320507	320500	3	江苏省/苏州市/相城区	
843	姑苏区	320508	320500	3	江苏省/苏州市/姑苏区	
844	吴江区	320509	320500	3	江苏省/苏州市/吴江区	
845	常熟市	320581	320500	3	江苏省/苏州市/常熟市	
846	张家港市	320582	320500	3	江苏省/苏州市/张家港市	
847	昆山市	320583	320500	3	江苏省/苏州市/昆山市	
848	太仓市	320585	320500	3	江苏省/苏州市/太仓市	
849	南通市	320600	320000	2	江苏省/南通市	
850	崇川区	320602	320600	3	江苏省/南通市/崇川区	
851	港闸区	320611	320600	3	江苏省/南通市/港闸区	
852	通州区	320612	320600	3	江苏省/南通市/通州区	
853	如东县	320623	320600	3	江苏省/南通市/如东县	
854	启东市	320681	320600	3	江苏省/南通市/启东市	
855	如皋市	320682	320600	3	江苏省/南通市/如皋市	
856	海门市	320684	320600	3	江苏省/南通市/海门市	
857	海安市	320685	320600	3	江苏省/南通市/海安市	
858	连云港市	320700	320000	2	江苏省/连云港市	
859	连云区	320703	320700	3	江苏省/连云港市/连云区	
860	海州区	320706	320700	3	江苏省/连云港市/海州区	
861	赣榆区	320707	320700	3	江苏省/连云港市/赣榆区	
862	东海县	320722	320700	3	江苏省/连云港市/东海县	
863	灌云县	320723	320700	3	江苏省/连云港市/灌云县	
864	灌南县	320724	320700	3	江苏省/连云港市/灌南县	
865	淮安市	320800	320000	2	江苏省/淮安市	
866	淮安区	320803	320800	3	江苏省/淮安市/淮安区	
867	淮阴区	320804	320800	3	江苏省/淮安市/淮阴区	
868	清江浦区	320812	320800	3	江苏省/淮安市/清江浦区	
869	洪泽区	320813	320800	3	江苏省/淮安市/洪泽区	
870	涟水县	320826	320800	3	江苏省/淮安市/涟水县	
871	盱眙县	320830	320800	3	江苏省/淮安市/盱眙县	
872	金湖县	320831	320800	3	江苏省/淮安市/金湖县	
873	盐城市	320900	320000	2	江苏省/盐城市	
874	亭湖区	320902	320900	3	江苏省/盐城市/亭湖区	
875	盐都区	320903	320900	3	江苏省/盐城市/盐都区	
876	大丰区	320904	320900	3	江苏省/盐城市/大丰区	
877	响水县	320921	320900	3	江苏省/盐城市/响水县	
878	滨海县	320922	320900	3	江苏省/盐城市/滨海县	
879	阜宁县	320923	320900	3	江苏省/盐城市/阜宁县	
880	射阳县	320924	320900	3	江苏省/盐城市/射阳县	
881	建湖县	320925	320900	3	江苏省/盐城市/建湖县	
882	东台市	320981	320900	3	江苏省/盐城市/东台市	
883	扬州市	321000	320000	2	江苏省/扬州市	
884	广陵区	321002	321000	3	江苏省/扬州市/广陵区	
885	邗江区	321003	321000	3	江苏省/扬州市/邗江区	
886	江都区	321012	321000	3	江苏省/扬州市/江都区	
887	宝应县	321023	321000	3	江苏省/扬州市/宝应县	
888	仪征市	321081	321000	3	江苏省/扬州市/仪征市	
889	高邮市	321084	321000	3	江苏省/扬州市/高邮市	
890	镇江市	321100	320000	2	江苏省/镇江市	
891	京口区	321102	321100	3	江苏省/镇江市/京口区	
892	润州区	321111	321100	3	江苏省/镇江市/润州区	
893	丹徒区	321112	321100	3	江苏省/镇江市/丹徒区	
894	丹阳市	321181	321100	3	江苏省/镇江市/丹阳市	
895	扬中市	321182	321100	3	江苏省/镇江市/扬中市	
896	句容市	321183	321100	3	江苏省/镇江市/句容市	
897	泰州市	321200	320000	2	江苏省/泰州市	
898	海陵区	321202	321200	3	江苏省/泰州市/海陵区	
899	高港区	321203	321200	3	江苏省/泰州市/高港区	
900	姜堰区	321204	321200	3	江苏省/泰州市/姜堰区	
901	兴化市	321281	321200	3	江苏省/泰州市/兴化市	
902	靖江市	321282	321200	3	江苏省/泰州市/靖江市	
903	泰兴市	321283	321200	3	江苏省/泰州市/泰兴市	
904	宿迁市	321300	320000	2	江苏省/宿迁市	
905	宿城区	321302	321300	3	江苏省/宿迁市/宿城区	
906	宿豫区	321311	321300	3	江苏省/宿迁市/宿豫区	
907	沭阳县	321322	321300	3	江苏省/宿迁市/沭阳县	
908	泗阳县	321323	321300	3	江苏省/宿迁市/泗阳县	
909	泗洪县	321324	321300	3	江苏省/宿迁市/泗洪县	
910	浙江省	330000	000000	1	浙江省	
911	杭州市	330100	330000	2	浙江省/杭州市	
912	上城区	330102	330100	3	浙江省/杭州市/上城区	
913	下城区	330103	330100	3	浙江省/杭州市/下城区	
914	江干区	330104	330100	3	浙江省/杭州市/江干区	
915	拱墅区	330105	330100	3	浙江省/杭州市/拱墅区	
916	西湖区	330106	330100	3	浙江省/杭州市/西湖区	
917	滨江区	330108	330100	3	浙江省/杭州市/滨江区	
918	萧山区	330109	330100	3	浙江省/杭州市/萧山区	
919	余杭区	330110	330100	3	浙江省/杭州市/余杭区	
920	富阳区	330111	330100	3	浙江省/杭州市/富阳区	
921	临安区	330112	330100	3	浙江省/杭州市/临安区	
922	桐庐县	330122	330100	3	浙江省/杭州市/桐庐县	
923	淳安县	330127	330100	3	浙江省/杭州市/淳安县	
924	建德市	330182	330100	3	浙江省/杭州市/建德市	
925	宁波市	330200	330000	2	浙江省/宁波市	
926	海曙区	330203	330200	3	浙江省/宁波市/海曙区	
927	江北区	330205	330200	3	浙江省/宁波市/江北区	
928	北仑区	330206	330200	3	浙江省/宁波市/北仑区	
929	镇海区	330211	330200	3	浙江省/宁波市/镇海区	
930	鄞州区	330212	330200	3	浙江省/宁波市/鄞州区	
931	奉化区	330213	330200	3	浙江省/宁波市/奉化区	
932	象山县	330225	330200	3	浙江省/宁波市/象山县	
933	宁海县	330226	330200	3	浙江省/宁波市/宁海县	
934	余姚市	330281	330200	3	浙江省/宁波市/余姚市	
935	慈溪市	330282	330200	3	浙江省/宁波市/慈溪市	
936	温州市	330300	330000	2	浙江省/温州市	
937	鹿城区	330302	330300	3	浙江省/温州市/鹿城区	
938	龙湾区	330303	330300	3	浙江省/温州市/龙湾区	
939	瓯海区	330304	330300	3	浙江省/温州市/瓯海区	
940	洞头区	330305	330300	3	浙江省/温州市/洞头区	
941	永嘉县	330324	330300	3	浙江省/温州市/永嘉县	
942	平阳县	330326	330300	3	浙江省/温州市/平阳县	
943	苍南县	330327	330300	3	浙江省/温州市/苍南县	
944	文成县	330328	330300	3	浙江省/温州市/文成县	
945	泰顺县	330329	330300	3	浙江省/温州市/泰顺县	
946	瑞安市	330381	330300	3	浙江省/温州市/瑞安市	
947	乐清市	330382	330300	3	浙江省/温州市/乐清市	
948	龙港市	330383	330300	3	浙江省/温州市/龙港市	
949	嘉兴市	330400	330000	2	浙江省/嘉兴市	
950	南湖区	330402	330400	3	浙江省/嘉兴市/南湖区	
951	秀洲区	330411	330400	3	浙江省/嘉兴市/秀洲区	
952	嘉善县	330421	330400	3	浙江省/嘉兴市/嘉善县	
953	海盐县	330424	330400	3	浙江省/嘉兴市/海盐县	
954	海宁市	330481	330400	3	浙江省/嘉兴市/海宁市	
955	平湖市	330482	330400	3	浙江省/嘉兴市/平湖市	
956	桐乡市	330483	330400	3	浙江省/嘉兴市/桐乡市	
957	湖州市	330500	330000	2	浙江省/湖州市	
958	吴兴区	330502	330500	3	浙江省/湖州市/吴兴区	
959	南浔区	330503	330500	3	浙江省/湖州市/南浔区	
960	德清县	330521	330500	3	浙江省/湖州市/德清县	
961	长兴县	330522	330500	3	浙江省/湖州市/长兴县	
962	安吉县	330523	330500	3	浙江省/湖州市/安吉县	
963	绍兴市	330600	330000	2	浙江省/绍兴市	
964	越城区	330602	330600	3	浙江省/绍兴市/越城区	
965	柯桥区	330603	330600	3	浙江省/绍兴市/柯桥区	
966	上虞区	330604	330600	3	浙江省/绍兴市/上虞区	
967	新昌县	330624	330600	3	浙江省/绍兴市/新昌县	
968	诸暨市	330681	330600	3	浙江省/绍兴市/诸暨市	
969	嵊州市	330683	330600	3	浙江省/绍兴市/嵊州市	
970	金华市	330700	330000	2	浙江省/金华市	
971	婺城区	330702	330700	3	浙江省/金华市/婺城区	
972	金东区	330703	330700	3	浙江省/金华市/金东区	
973	武义县	330723	330700	3	浙江省/金华市/武义县	
974	浦江县	330726	330700	3	浙江省/金华市/浦江县	
975	磐安县	330727	330700	3	浙江省/金华市/磐安县	
976	兰溪市	330781	330700	3	浙江省/金华市/兰溪市	
977	义乌市	330782	330700	3	浙江省/金华市/义乌市	
978	东阳市	330783	330700	3	浙江省/金华市/东阳市	
979	永康市	330784	330700	3	浙江省/金华市/永康市	
980	衢州市	330800	330000	2	浙江省/衢州市	
981	柯城区	330802	330800	3	浙江省/衢州市/柯城区	
982	衢江区	330803	330800	3	浙江省/衢州市/衢江区	
983	常山县	330822	330800	3	浙江省/衢州市/常山县	
984	开化县	330824	330800	3	浙江省/衢州市/开化县	
985	龙游县	330825	330800	3	浙江省/衢州市/龙游县	
986	江山市	330881	330800	3	浙江省/衢州市/江山市	
987	舟山市	330900	330000	2	浙江省/舟山市	
988	定海区	330902	330900	3	浙江省/舟山市/定海区	
989	普陀区	330903	330900	3	浙江省/舟山市/普陀区	
990	岱山县	330921	330900	3	浙江省/舟山市/岱山县	
991	嵊泗县	330922	330900	3	浙江省/舟山市/嵊泗县	
992	台州市	331000	330000	2	浙江省/台州市	
993	椒江区	331002	331000	3	浙江省/台州市/椒江区	
994	黄岩区	331003	331000	3	浙江省/台州市/黄岩区	
995	路桥区	331004	331000	3	浙江省/台州市/路桥区	
996	三门县	331022	331000	3	浙江省/台州市/三门县	
997	天台县	331023	331000	3	浙江省/台州市/天台县	
998	仙居县	331024	331000	3	浙江省/台州市/仙居县	
999	温岭市	331081	331000	3	浙江省/台州市/温岭市	
1000	临海市	331082	331000	3	浙江省/台州市/临海市	
1001	玉环市	331083	331000	3	浙江省/台州市/玉环市	
1002	丽水市	331100	330000	2	浙江省/丽水市	
1003	莲都区	331102	331100	3	浙江省/丽水市/莲都区	
1004	青田县	331121	331100	3	浙江省/丽水市/青田县	
1005	缙云县	331122	331100	3	浙江省/丽水市/缙云县	
1006	遂昌县	331123	331100	3	浙江省/丽水市/遂昌县	
1007	松阳县	331124	331100	3	浙江省/丽水市/松阳县	
1008	云和县	331125	331100	3	浙江省/丽水市/云和县	
1009	庆元县	331126	331100	3	浙江省/丽水市/庆元县	
1010	景宁畲族自治县	331127	331100	3	浙江省/丽水市/景宁畲族自治县	
1011	龙泉市	331181	331100	3	浙江省/丽水市/龙泉市	
1012	安徽省	340000	000000	1	安徽省	
1013	合肥市	340100	340000	2	安徽省/合肥市	
1014	瑶海区	340102	340100	3	安徽省/合肥市/瑶海区	
1015	庐阳区	340103	340100	3	安徽省/合肥市/庐阳区	
1016	蜀山区	340104	340100	3	安徽省/合肥市/蜀山区	
1017	包河区	340111	340100	3	安徽省/合肥市/包河区	
1018	长丰县	340121	340100	3	安徽省/合肥市/长丰县	
1019	肥东县	340122	340100	3	安徽省/合肥市/肥东县	
1020	肥西县	340123	340100	3	安徽省/合肥市/肥西县	
1021	庐江县	340124	340100	3	安徽省/合肥市/庐江县	
1022	巢湖市	340181	340100	3	安徽省/合肥市/巢湖市	
1023	芜湖市	340200	340000	2	安徽省/芜湖市	
1024	镜湖区	340202	340200	3	安徽省/芜湖市/镜湖区	
1025	弋江区	340203	340200	3	安徽省/芜湖市/弋江区	
1026	鸠江区	340207	340200	3	安徽省/芜湖市/鸠江区	
1027	三山区	340208	340200	3	安徽省/芜湖市/三山区	
1028	芜湖县	340221	340200	3	安徽省/芜湖市/芜湖县	
1029	繁昌县	340222	340200	3	安徽省/芜湖市/繁昌县	
1030	南陵县	340223	340200	3	安徽省/芜湖市/南陵县	
1031	无为市	340281	340200	3	安徽省/芜湖市/无为市	
1032	蚌埠市	340300	340000	2	安徽省/蚌埠市	
1033	龙子湖区	340302	340300	3	安徽省/蚌埠市/龙子湖区	
1034	蚌山区	340303	340300	3	安徽省/蚌埠市/蚌山区	
1035	禹会区	340304	340300	3	安徽省/蚌埠市/禹会区	
1036	淮上区	340311	340300	3	安徽省/蚌埠市/淮上区	
1037	怀远县	340321	340300	3	安徽省/蚌埠市/怀远县	
1038	五河县	340322	340300	3	安徽省/蚌埠市/五河县	
1039	固镇县	340323	340300	3	安徽省/蚌埠市/固镇县	
1040	淮南市	340400	340000	2	安徽省/淮南市	
1041	大通区	340402	340400	3	安徽省/淮南市/大通区	
1042	田家庵区	340403	340400	3	安徽省/淮南市/田家庵区	
1043	谢家集区	340404	340400	3	安徽省/淮南市/谢家集区	
1044	八公山区	340405	340400	3	安徽省/淮南市/八公山区	
1045	潘集区	340406	340400	3	安徽省/淮南市/潘集区	
1046	凤台县	340421	340400	3	安徽省/淮南市/凤台县	
1047	寿县	340422	340400	3	安徽省/淮南市/寿县	
1048	马鞍山市	340500	340000	2	安徽省/马鞍山市	
1049	花山区	340503	340500	3	安徽省/马鞍山市/花山区	
1050	雨山区	340504	340500	3	安徽省/马鞍山市/雨山区	
1051	博望区	340506	340500	3	安徽省/马鞍山市/博望区	
1052	当涂县	340521	340500	3	安徽省/马鞍山市/当涂县	
1053	含山县	340522	340500	3	安徽省/马鞍山市/含山县	
1054	和县	340523	340500	3	安徽省/马鞍山市/和县	
1055	淮北市	340600	340000	2	安徽省/淮北市	
1056	杜集区	340602	340600	3	安徽省/淮北市/杜集区	
1057	相山区	340603	340600	3	安徽省/淮北市/相山区	
1058	烈山区	340604	340600	3	安徽省/淮北市/烈山区	
1059	濉溪县	340621	340600	3	安徽省/淮北市/濉溪县	
1060	铜陵市	340700	340000	2	安徽省/铜陵市	
1061	铜官区	340705	340700	3	安徽省/铜陵市/铜官区	
1062	义安区	340706	340700	3	安徽省/铜陵市/义安区	
1063	郊区	340711	340700	3	安徽省/铜陵市/郊区	
1064	枞阳县	340722	340700	3	安徽省/铜陵市/枞阳县	
1065	安庆市	340800	340000	2	安徽省/安庆市	
1066	迎江区	340802	340800	3	安徽省/安庆市/迎江区	
1067	大观区	340803	340800	3	安徽省/安庆市/大观区	
1068	宜秀区	340811	340800	3	安徽省/安庆市/宜秀区	
1069	怀宁县	340822	340800	3	安徽省/安庆市/怀宁县	
1070	太湖县	340825	340800	3	安徽省/安庆市/太湖县	
1071	宿松县	340826	340800	3	安徽省/安庆市/宿松县	
1072	望江县	340827	340800	3	安徽省/安庆市/望江县	
1073	岳西县	340828	340800	3	安徽省/安庆市/岳西县	
1074	桐城市	340881	340800	3	安徽省/安庆市/桐城市	
1075	潜山市	340882	340800	3	安徽省/安庆市/潜山市	
1076	黄山市	341000	340000	2	安徽省/黄山市	
1077	屯溪区	341002	341000	3	安徽省/黄山市/屯溪区	
1078	黄山区	341003	341000	3	安徽省/黄山市/黄山区	
1079	徽州区	341004	341000	3	安徽省/黄山市/徽州区	
1080	歙县	341021	341000	3	安徽省/黄山市/歙县	
1081	休宁县	341022	341000	3	安徽省/黄山市/休宁县	
1082	黟县	341023	341000	3	安徽省/黄山市/黟县	
1083	祁门县	341024	341000	3	安徽省/黄山市/祁门县	
1084	滁州市	341100	340000	2	安徽省/滁州市	
1085	琅琊区	341102	341100	3	安徽省/滁州市/琅琊区	
1086	南谯区	341103	341100	3	安徽省/滁州市/南谯区	
1087	来安县	341122	341100	3	安徽省/滁州市/来安县	
1088	全椒县	341124	341100	3	安徽省/滁州市/全椒县	
1089	定远县	341125	341100	3	安徽省/滁州市/定远县	
1090	凤阳县	341126	341100	3	安徽省/滁州市/凤阳县	
1091	天长市	341181	341100	3	安徽省/滁州市/天长市	
1092	明光市	341182	341100	3	安徽省/滁州市/明光市	
1093	阜阳市	341200	340000	2	安徽省/阜阳市	
1094	颍州区	341202	341200	3	安徽省/阜阳市/颍州区	
1095	颍东区	341203	341200	3	安徽省/阜阳市/颍东区	
1096	颍泉区	341204	341200	3	安徽省/阜阳市/颍泉区	
1097	临泉县	341221	341200	3	安徽省/阜阳市/临泉县	
1098	太和县	341222	341200	3	安徽省/阜阳市/太和县	
1099	阜南县	341225	341200	3	安徽省/阜阳市/阜南县	
1100	颍上县	341226	341200	3	安徽省/阜阳市/颍上县	
1101	界首市	341282	341200	3	安徽省/阜阳市/界首市	
1102	宿州市	341300	340000	2	安徽省/宿州市	
1103	埇桥区	341302	341300	3	安徽省/宿州市/埇桥区	
1104	砀山县	341321	341300	3	安徽省/宿州市/砀山县	
1105	萧县	341322	341300	3	安徽省/宿州市/萧县	
1106	灵璧县	341323	341300	3	安徽省/宿州市/灵璧县	
1107	泗县	341324	341300	3	安徽省/宿州市/泗县	
1108	六安市	341500	340000	2	安徽省/六安市	
1109	金安区	341502	341500	3	安徽省/六安市/金安区	
1110	裕安区	341503	341500	3	安徽省/六安市/裕安区	
1111	叶集区	341504	341500	3	安徽省/六安市/叶集区	
1112	霍邱县	341522	341500	3	安徽省/六安市/霍邱县	
1113	舒城县	341523	341500	3	安徽省/六安市/舒城县	
1114	金寨县	341524	341500	3	安徽省/六安市/金寨县	
1115	霍山县	341525	341500	3	安徽省/六安市/霍山县	
1116	亳州市	341600	340000	2	安徽省/亳州市	
1117	谯城区	341602	341600	3	安徽省/亳州市/谯城区	
1118	涡阳县	341621	341600	3	安徽省/亳州市/涡阳县	
1119	蒙城县	341622	341600	3	安徽省/亳州市/蒙城县	
1120	利辛县	341623	341600	3	安徽省/亳州市/利辛县	
1121	池州市	341700	340000	2	安徽省/池州市	
1122	贵池区	341702	341700	3	安徽省/池州市/贵池区	
1123	东至县	341721	341700	3	安徽省/池州市/东至县	
1124	石台县	341722	341700	3	安徽省/池州市/石台县	
1125	青阳县	341723	341700	3	安徽省/池州市/青阳县	
1126	宣城市	341800	340000	2	安徽省/宣城市	
1127	宣州区	341802	341800	3	安徽省/宣城市/宣州区	
1128	郎溪县	341821	341800	3	安徽省/宣城市/郎溪县	
1129	泾县	341823	341800	3	安徽省/宣城市/泾县	
1130	绩溪县	341824	341800	3	安徽省/宣城市/绩溪县	
1131	旌德县	341825	341800	3	安徽省/宣城市/旌德县	
1132	宁国市	341881	341800	3	安徽省/宣城市/宁国市	
1133	广德市	341882	341800	3	安徽省/宣城市/广德市	
1134	福建省	350000	000000	1	福建省	
1135	福州市	350100	350000	2	福建省/福州市	
1136	鼓楼区	350102	350100	3	福建省/福州市/鼓楼区	
1137	台江区	350103	350100	3	福建省/福州市/台江区	
1138	仓山区	350104	350100	3	福建省/福州市/仓山区	
1139	马尾区	350105	350100	3	福建省/福州市/马尾区	
1140	晋安区	350111	350100	3	福建省/福州市/晋安区	
1141	长乐区	350112	350100	3	福建省/福州市/长乐区	
1142	闽侯县	350121	350100	3	福建省/福州市/闽侯县	
1143	连江县	350122	350100	3	福建省/福州市/连江县	
1144	罗源县	350123	350100	3	福建省/福州市/罗源县	
1145	闽清县	350124	350100	3	福建省/福州市/闽清县	
1146	永泰县	350125	350100	3	福建省/福州市/永泰县	
1147	平潭县	350128	350100	3	福建省/福州市/平潭县	
1148	福清市	350181	350100	3	福建省/福州市/福清市	
1149	厦门市	350200	350000	2	福建省/厦门市	
1150	思明区	350203	350200	3	福建省/厦门市/思明区	
1151	海沧区	350205	350200	3	福建省/厦门市/海沧区	
1152	湖里区	350206	350200	3	福建省/厦门市/湖里区	
1153	集美区	350211	350200	3	福建省/厦门市/集美区	
1154	同安区	350212	350200	3	福建省/厦门市/同安区	
1155	翔安区	350213	350200	3	福建省/厦门市/翔安区	
1156	莆田市	350300	350000	2	福建省/莆田市	
1157	城厢区	350302	350300	3	福建省/莆田市/城厢区	
1158	涵江区	350303	350300	3	福建省/莆田市/涵江区	
1159	荔城区	350304	350300	3	福建省/莆田市/荔城区	
1160	秀屿区	350305	350300	3	福建省/莆田市/秀屿区	
1161	仙游县	350322	350300	3	福建省/莆田市/仙游县	
1162	三明市	350400	350000	2	福建省/三明市	
1163	梅列区	350402	350400	3	福建省/三明市/梅列区	
1164	三元区	350403	350400	3	福建省/三明市/三元区	
1165	明溪县	350421	350400	3	福建省/三明市/明溪县	
1166	清流县	350423	350400	3	福建省/三明市/清流县	
1167	宁化县	350424	350400	3	福建省/三明市/宁化县	
1168	大田县	350425	350400	3	福建省/三明市/大田县	
1169	尤溪县	350426	350400	3	福建省/三明市/尤溪县	
1170	沙县	350427	350400	3	福建省/三明市/沙县	
1171	将乐县	350428	350400	3	福建省/三明市/将乐县	
1172	泰宁县	350429	350400	3	福建省/三明市/泰宁县	
1173	建宁县	350430	350400	3	福建省/三明市/建宁县	
1174	永安市	350481	350400	3	福建省/三明市/永安市	
1175	泉州市	350500	350000	2	福建省/泉州市	
1176	鲤城区	350502	350500	3	福建省/泉州市/鲤城区	
1177	丰泽区	350503	350500	3	福建省/泉州市/丰泽区	
1178	洛江区	350504	350500	3	福建省/泉州市/洛江区	
1179	泉港区	350505	350500	3	福建省/泉州市/泉港区	
1180	惠安县	350521	350500	3	福建省/泉州市/惠安县	
